System:,Log-Version,0.1,Lib-Version,4.4
PC:,Host-Name,W7-DESKTOP-1,Time,2014-04-23T13:44:43.5726266Z




SignalName: time [ms],D0 P,D0 V,D0 A,D1 P,D1 V,D1 A
Uri: ,,,,,,
Unit: ms,rad,rad/s,rad/s^2,rad,rad/s,rad/s^2
19.2,-0.1626278978,-14.0261249542,2879.904296875,0.9308550684,-36.5264511108,-1083.4946289063
19.3,-0.1640160278,-13.7356357574,2929.904296875,0.9271970855,-36.6323013306,-1033.4946289063
19.4,-0.1653748584,-13.4401435852,2979.904296875,0.9235287688,-36.7331504822,-983.4946289063
19.5,-0.1667039394,-13.1411495209,3000,0.9198506237,-36.8290023804,-933.4945068359
19.6,-0.1680030534,-12.8411502838,3000,0.9161631453,-36.9198493958,-883.4946289063
19.7,-0.1692721684,-12.5411491394,3000,0.9124668175,-37.0056991577,-833.4946899414
19.8,-0.1705112833,-12.2411489487,3000,0.908762156,-37.0865478516,-783.4945068359
19.9,-0.1717203982,-11.9411487579,3000,0.9050496724,-37.162399292,-733.4945068359
20,-0.1728995129,-11.6411495209,3000,0.9013298501,-37.2332458496,-683.4945068359
20.1,-0.1740486279,-11.3411493301,3000,0.8976031875,-37.2990951538,-633.4945068359
20.2,-0.1751677427,-11.0411491394,3000,0.8938702045,-37.3599472046,-583.4945678711
20.3,-0.1762568578,-10.7411499023,3000,0.8901313643,-37.4157943726,-533.4945678711
20.4,-0.1773159726,-10.4411487579,3000,0.8863872015,-37.4666442871,-483.4946289063
20.5,-0.1783450872,-10.1411495209,3000,0.8826382132,-37.5124931335,-433.494720459
20.6,-0.1793442027,-9.8411493301,3000,0.8788848736,-37.5533447266,-383.4945373535
20.7,-0.1803133173,-9.5411491394,3000,0.8751277116,-37.5891914368,-333.4946289063
20.8,-0.1812524325,-9.2411499023,3000,0.871367211,-37.6200447083,-283.494720459
20.9,-0.1821615968,-8.9426450729,2970.095703125,0.8676038582,-37.6458930969,-233.4945526123
21,-0.1830410601,-8.6471300125,2940.19140625,0.8638381902,-37.6667404175,-183.4946289063
21.1,-0.1838911559,-8.3556108475,2890.19140625,0.8600706912,-37.6825904846,-133.494720459
21.2,-0.1847123494,-8.0690917969,2840.19140625,0.8563018318,-37.6934432983,-83.4945526123
21.3,-0.1855051411,-7.7875728607,2790.1916503906,0.8525321595,-37.6992950439,-33.4945602417
21.4,-0.1862700304,-7.5110535622,2740.19140625,0.8487621418,-37.700138092,16.5054359436
21.5,-0.1870075184,-7.2395343781,2690.19140625,0.8449922944,-37.6959915161,66.505355835
21.6,-0.1877181038,-6.9730153084,2640.1916503906,0.8412231086,-37.6868400574,116.5052719116
21.7,-0.1884022879,-6.7114963531,2590.19140625,0.8374551006,-37.6726875305,166.5054321289
21.8,-0.1890605697,-6.4549770355,2540.19140625,0.8336887551,-37.6535377502,216.5053405762
21.9,-0.1896934498,-6.2034578323,2490.1916503906,0.829924555,-37.6293869019,266.5052490234
22,-0.190301428,-5.9569387436,2440.19140625,0.8261630249,-37.6002349854,316.5054321289
